Username,Grade,Attempt Number,Date,Status,Duration,,,,,,,
20150343,2 ,1,8/27/2015 12:41,Completed,0:06:43,,,,,,,
20150343,2 ,2,8/27/2015 12:43,Completed,0:01:43,,,,,,,
20150343,1 ,3,8/27/2015 12:45,Completed,0:01:32,,,,,,,
20150343,1 ,4,8/27/2015 12:46,Completed,0:00:44,,,,,,,
20150072,3 ,1,8/25/2015 9:29,Completed,0:00:59,,,,,,,
20150072,2 ,2,8/30/2015 19:24,Completed,0:00:57,,,,,,,
20150072,3 ,3,9/9/2015 17:57,Completed,0:00:45,,,,,,,
20150072,3 ,4,9/10/2015 6:33,Completed,0:00:41,,,,,,,
20150274,2 ,1,8/24/2015 17:26,Completed,0:01:22,,,,,,,
20150410,2 ,1,8/25/2015 8:36,Completed,0:00:50,,,,,,,
20150410,3 ,2,8/25/2015 8:37,Completed,0:00:34,,,,,,,
20150410,2 ,3,8/25/2015 8:38,Completed,0:00:35,,,,,,,
20150410,3 ,4,8/25/2015 8:39,Completed,0:00:31,,,,,,,
20150410,2 ,5,8/25/2015 8:42,Completed,0:03:30,,,,,,,
20150410,3 ,6,8/25/2015 8:43,Completed,0:00:20,,,,,,,
20150410,2 ,7,8/25/2015 8:44,Completed,0:00:28,,,,,,,
20150410,2 ,8,8/25/2015 8:45,Completed,0:00:24,,,,,,,
20150410,3 ,9,8/25/2015 8:46,Completed,0:00:21,,,,,,,
20150410,3 ,10,8/25/2015 8:47,Completed,0:00:39,,,,,,,
20150624,2 ,1,8/30/2015 23:32,Completed,0:05:50,,,,,,,
20150624,1 ,2,8/30/2015 23:33,Completed,0:00:49,,,,,,,
20150624,2 ,3,8/30/2015 23:35,Completed,0:00:39,,,,,,,
20150624,3 ,4,8/30/2015 23:37,Completed,0:02:04,,,,,,,
20150624,3 ,5,8/30/2015 23:38,Completed,0:00:24,,,,,,,
20150624,3 ,6,8/30/2015 23:39,Completed,0:00:55,,,,,,,
20150624,3 ,7,8/30/2015 23:40,Completed,0:00:54,,,,,,,
20150333,1 ,1,8/22/2015 12:54,Completed,0:00:53,,,,,,,
20150333,2 ,2,8/22/2015 12:56,Completed,0:01:43,,,,,,,
20150333,0 ,3,8/30/2015 10:46,Completed,0:06:08,,,,,,,
20150333,2 ,4,8/30/2015 10:47,Completed,0:00:52,,,,,,,
20150333,2 ,5,8/30/2015 10:49,Completed,0:01:18,,,,,,,
20150333,0 ,6,8/30/2015 10:51,Completed,0:01:31,,,,,,,
20150333,2 ,7,8/30/2015 10:52,Completed,0:00:43,,,,,,,
20150333,2 ,8,8/30/2015 10:54,Completed,0:01:02,,,,,,,
20150333,1 ,9,8/30/2015 10:57,Completed,0:00:56,,,,,,,
20150333,1 ,10,8/30/2015 10:58,Completed,0:00:55,,,,,,,
20150333,1 ,11,8/30/2015 10:58,Completed,0:00:20,,,,,,,
20150333,3 ,12,8/30/2015 10:59,Completed,0:00:36,,,,,,,
20150333,0 ,13,8/30/2015 11:01,Completed,0:01:01,,,,,,,
20150333,2 ,14,8/30/2015 11:02,Completed,0:00:50,,,,,,,
20150333,2 ,15,8/30/2015 11:02,Completed,0:00:20,,,,,,,
20150333,2 ,16,8/30/2015 11:03,Completed,0:00:30,,,,,,,
20150333,2 ,17,8/30/2015 11:04,Completed,0:00:44,,,,,,,
20150333,3 ,18,9/15/2015 17:58,Completed,0:00:32,,,,,,,
20150365,2 ,1,8/24/2015 16:25,Completed,0:00:49,,,,,,,
20150365,2 ,2,8/24/2015 16:26,Completed,0:00:34,,,,,,,
20150365,1 ,3,8/24/2015 16:27,Completed,0:00:22,,,,,,,
20150365,2 ,4,8/24/2015 16:47,Completed,0:05:21,,,,,,,
20150365,1 ,5,8/24/2015 16:49,Completed,0:01:04,,,,,,,
20150365,1 ,6,8/24/2015 16:50,Completed,0:01:21,,,,,,,
20150365,3 ,7,8/24/2015 16:52,Completed,0:00:54,,,,,,,
20150281,2 ,1,8/30/2015 12:27,Completed,0:01:18,,,,,,,
20150281,2 ,2,8/30/2015 12:31,Completed,0:01:30,,,,,,,
20150281,3 ,3,8/30/2015 12:32,Completed,0:00:20,,,,,,,
20150281,1 ,4,8/30/2015 12:33,Completed,0:00:48,,,,,,,
20150281,2 ,5,8/30/2015 12:35,Completed,0:00:44,,,,,,,
20150281,3 ,6,8/30/2015 12:36,Completed,0:00:24,,,,,,,
20150281,1 ,7,8/30/2015 12:37,Completed,0:01:15,,,,,,,
20150281,1 ,8,8/30/2015 12:43,Completed,0:02:26,,,,,,,
20150281,3 ,9,8/30/2015 12:44,Completed,0:00:17,,,,,,,
20150281,3 ,10,8/30/2015 12:46,Completed,0:01:11,,,,,,,
20150281,3 ,11,8/30/2015 12:47,Completed,0:00:39,,,,,,,
20150281,2 ,12,9/18/2015 22:52,Completed,0:04:28,,,,,,,
20150281,2 ,13,9/18/2015 23:01,Completed,0:03:48,,,,,,,
20150281,3 ,14,9/18/2015 23:02,Completed,0:00:25,,,,,,,
20150281,3 ,15,9/18/2015 23:03,Completed,0:00:24,,,,,,,
20150281,0 ,16,9/18/2015 23:20,Completed,0:17:01,,,,,,,
20150340,3 ,1,8/23/2015 14:52,Completed,0:07:34,,,,,,,
20150340,3 ,2,9/19/2015 10:54,Completed,0:00:27,,,,,,,
20150862,1 ,1,8/26/2015 14:45,Completed,0:15:01,,,,,,,
20150862,3 ,2,8/26/2015 14:51,Completed,0:02:09,,,,,,,
20150862,3 ,3,8/26/2015 14:57,Completed,0:02:36,,,,,,,
20150862,2 ,4,9/18/2015 19:26,Completed,0:01:59,,,,,,,
20150862,1 ,5,9/18/2015 19:36,Completed,0:06:19,,,,,,,
20150862,2 ,6,9/18/2015 20:55,Completed,0:01:01,,,,,,,
20150862,3 ,7,9/19/2015 14:51,Completed,0:01:32,,,,,,,
20150368,0 ,1,8/29/2015 13:37,Completed,0:00:38,,,,,,,
20150368,1 ,2,8/29/2015 13:46,Completed,0:01:30,,,,,,,
20150368,2 ,3,8/29/2015 13:57,Completed,0:00:43,,,,,,,
20150368,0 ,4,8/29/2015 13:58,Completed,0:01:03,,,,,,,
20150368,2 ,5,8/29/2015 14:00,Completed,0:00:56,,,,,,,
20150368,2 ,6,8/29/2015 14:01,Completed,0:00:36,,,,,,,
20150368,3 ,7,8/29/2015 14:02,Completed,0:00:36,,,,,,,
20150368,2 ,8,8/29/2015 14:04,Completed,0:01:26,,,,,,,
20150368,1 ,9,8/29/2015 14:06,Completed,0:01:13,,,,,,,
20150368,2 ,10,8/29/2015 14:07,Completed,0:00:30,,,,,,,
20150368,2 ,11,9/19/2015 10:14,Completed,0:01:13,,,,,,,
20150368,1 ,12,9/19/2015 10:29,Completed,0:14:21,,,,,,,
20150368,3 ,13,9/19/2015 10:33,Completed,0:00:43,,,,,,,
20150922,1 ,1,9/18/2015 14:04,Completed,0:00:45,,,,,,,
20150922,2 ,2,9/18/2015 14:09,Completed,0:00:29,,,,,,,
20150922,2 ,3,9/18/2015 14:10,Completed,0:00:45,,,,,,,
20150691,3 ,1,9/9/2015 17:01,Completed,0:01:07,,,,,,,
20150567,2 ,1,8/25/2015 20:39,Completed,0:00:52,,,,,,,
20150567,1 ,2,8/25/2015 20:42,Completed,0:02:41,,,,,,,
20150567,2 ,3,8/25/2015 20:45,Completed,0:02:27,,,,,,,
20150567,3 ,4,8/25/2015 20:48,Completed,0:02:23,,,,,,,
20150567,2 ,5,8/25/2015 20:50,Completed,0:01:00,,,,,,,
20150567,3 ,6,8/25/2015 20:51,Completed,0:00:39,,,,,,,
20150567,2 ,7,8/25/2015 20:51,Completed,0:00:18,,,,,,,
20150567,3 ,8,8/25/2015 20:53,Completed,0:01:04,,,,,,,
20150567,3 ,9,8/25/2015 20:53,Completed,0:00:26,,,,,,,
20150567,2 ,10,9/19/2015 13:01,Completed,0:01:10,,,,,,,
20150567,2 ,11,9/19/2015 13:01,Completed,0:00:35,,,,,,,
20150567,3 ,12,9/19/2015 13:05,Completed,0:03:16,,,,,,,
20150567,3 ,13,9/19/2015 13:07,Completed,0:01:29,,,,,,,
20150567,3 ,14,9/19/2015 13:08,Completed,0:00:37,,,,,,,
20151076,1 ,1,8/27/2015 21:19,Completed,0:04:44,,,,,,,
20151076,2 ,2,8/27/2015 21:20,Completed,0:01:16,,,,,,,
20150609,2 ,1,8/27/2015 20:55,Completed,0:00:52,,,,,,,
20150609,2 ,2,8/27/2015 20:56,Completed,0:00:53,,,,,,,
20150609,1 ,3,8/27/2015 20:59,Completed,0:02:30,,,,,,,
20150609,1 ,4,8/27/2015 21:03,Completed,0:03:15,,,,,,,
20150609,2 ,5,8/27/2015 21:05,Completed,0:01:46,,,,,,,
20150609,2 ,6,8/27/2015 21:06,Completed,0:00:48,,,,,,,
20150609,2 ,7,8/27/2015 21:07,Completed,0:00:39,,,,,,,
20150609,2 ,8,8/27/2015 21:09,Completed,0:00:40,,,,,,,
20150609,2 ,9,8/27/2015 21:10,Completed,0:00:56,,,,,,,
20150609,2 ,10,8/27/2015 21:12,Completed,0:01:51,,,,,,,
20150609,0 ,11,8/27/2015 21:14,Completed,0:01:38,,,,,,,
20150609,0 ,12,8/27/2015 21:22,Completed,0:00:46,,,,,,,
20150609,2 ,13,8/27/2015 21:23,Completed,0:00:38,,,,,,,
20150609,3 ,14,8/27/2015 21:24,Completed,0:00:17,,,,,,,
20150609,3 ,15,8/27/2015 21:26,Completed,0:01:33,,,,,,,
20150609,1 ,16,8/27/2015 21:27,Completed,0:00:34,,,,,,,
20150609,1 ,17,8/27/2015 21:30,Completed,0:02:25,,,,,,,
20150609,1 ,18,8/27/2015 21:34,Completed,0:03:58,,,,,,,
20150609,2 ,19,8/27/2015 21:35,Completed,0:00:35,,,,,,,
20150609,2 ,20,8/27/2015 21:36,Completed,0:00:40,,,,,,,
20150609,3 ,21,8/27/2015 21:37,Completed,0:00:22,,,,,,,
20150108,3 ,1,8/27/2015 18:58,Completed,0:02:24,,,,,,,
20150108,2 ,2,8/27/2015 19:02,Completed,0:03:20,,,,,,,
20150108,3 ,3,8/27/2015 19:03,Completed,0:00:28,,,,,,,
20150108,2 ,4,8/27/2015 19:07,Completed,0:03:02,,,,,,,
20150108,2 ,5,8/27/2015 19:10,Completed,0:02:12,,,,,,,
20150108,2 ,6,8/27/2015 19:11,Completed,0:01:08,,,,,,,
20150108,0 ,7,8/27/2015 19:12,Completed,0:00:46,,,,,,,
20150108,0 ,8,8/27/2015 19:13,Completed,0:00:40,,,,,,,
20150500,3 ,1,9/19/2015 9:17,Completed,0:08:30,,,,,,,
20150722,3 ,1,8/22/2015 18:40,Completed,0:00:39,,,,,,,
20150722,2 ,2,8/22/2015 18:41,Completed,0:00:33,,,,,,,
20150722,3 ,3,8/22/2015 18:42,Completed,0:00:23,,,,,,,
20150722,2 ,4,8/27/2015 19:48,Completed,0:00:38,,,,,,,
20150722,0 ,5,8/27/2015 21:06,Completed,0:00:08,,,,,,,
20150722,0 ,6,8/27/2015 21:07,Completed,0:00:09,,,,,,,
20150722,1 ,7,8/27/2015 21:17,Completed,0:00:10,,,,,,,
20150722,0 ,8,8/27/2015 21:18,Completed,0:00:39,,,,,,,
20150722,0 ,9,8/27/2015 21:18,Completed,0:00:05,,,,,,,
20150722,0 ,10,8/27/2015 21:19,Completed,0:00:05,,,,,,,
20150722,0 ,11,8/27/2015 21:19,Completed,0:00:08,,,,,,,
20150722,0 ,12,8/27/2015 21:19,Completed,0:00:05,,,,,,,
20150722,0 ,13,8/27/2015 21:20,Completed,0:00:06,,,,,,,
20150722,0 ,14,8/27/2015 21:20,Completed,0:00:05,,,,,,,
20150722,0 ,15,8/27/2015 21:37,Completed,0:17:04,,,,,,,
20150722,3 ,16,9/18/2015 15:46,Completed,0:01:25,,,,,,,
20150722,3 ,17,9/19/2015 11:42,Completed,0:00:33,,,,,,,
20151006,2 ,1,8/27/2015 14:57,Completed,0:02:19,,,,,,,
20151006,3 ,2,8/27/2015 14:58,Completed,0:00:20,,,,,,,
20151006,2 ,3,8/27/2015 15:05,Completed,0:02:48,,,,,,,
20151006,2 ,4,8/27/2015 15:08,Completed,0:02:49,,,,,,,
20151006,1 ,5,8/27/2015 15:09,Completed,0:00:39,,,,,,,
20151006,1 ,6,8/27/2015 15:10,Completed,0:00:59,,,,,,,
20151006,1 ,7,8/27/2015 15:13,Completed,0:02:51,,,,,,,
20151006,3 ,8,8/27/2015 15:16,Completed,0:01:48,,,,,,,
20151006,3 ,9,8/27/2015 15:17,Completed,0:01:04,,,,,,,
20151006,1 ,10,8/27/2015 15:20,Completed,0:02:02,,,,,,,
20151006,3 ,11,8/27/2015 15:21,Completed,0:00:46,,,,,,,
20151006,1 ,12,8/27/2015 15:22,Completed,0:00:28,,,,,,,
20151006,1 ,13,8/27/2015 15:39,Completed,0:17:01,,,,,,,
20151006,0 ,14,8/31/2015 7:57,Completed,0:00:13,,,,,,,
20151006,0 ,15,8/31/2015 7:59,Completed,0:01:19,,,,,,,
20150919,2 ,1,8/22/2015 20:03,Completed,0:02:00,,,,,,,
20150919,0 ,2,8/22/2015 20:05,Completed,0:01:25,,,,,,,
20150919,1 ,3,9/16/2015 10:27,Completed,0:12:51,,,,,,,
20150919,3 ,4,9/16/2015 10:30,Completed,0:00:36,,,,,,,
20150134,1 ,1,8/30/2015 14:34,Completed,0:00:39,,,,,,,
20150134,1 ,2,8/30/2015 14:35,Completed,0:00:53,,,,,,,
20150134,2 ,3,8/30/2015 14:37,Completed,0:01:14,,,,,,,
20150134,3 ,4,8/30/2015 14:38,Completed,0:00:38,,,,,,,
20150785,2 ,1,9/16/2015 11:25,Completed,0:01:28,,,,,,,
20150657,3 ,1,8/30/2015 20:09,Completed,0:02:30,,,,,,,
20150657,0 ,2,9/18/2015 12:45,Completed,0:17:03,,,,,,,
20150657,3 ,3,9/19/2015 11:59,Completed,0:01:28,,,,,,,
20150657,2 ,4,9/19/2015 12:24,Completed,0:01:04,,,,,,,
20150657,3 ,5,9/19/2015 12:26,Completed,0:01:07,,,,,,,
20150657,3 ,6,9/19/2015 12:27,Completed,0:00:50,,,,,,,
20150657,3 ,7,9/19/2015 12:28,Completed,0:01:18,,,,,,,
20150242,3 ,1,8/23/2015 14:54,Completed,0:02:55,,,,,,,
20150242,3 ,2,8/23/2015 14:58,Completed,0:03:10,,,,,,,
20150242,2 ,3,8/23/2015 15:00,Completed,0:02:01,,,,,,,
20151091,2 ,1,8/30/2015 7:48,Completed,0:02:05,,,,,,,
20151091,1 ,2,8/30/2015 7:49,Completed,0:00:52,,,,,,,
20151091,1 ,3,8/30/2015 7:50,Completed,0:01:08,,,,,,,
20151091,1 ,4,8/30/2015 7:51,Completed,0:00:29,,,,,,,
20151091,0 ,5,8/30/2015 7:58,Completed,0:06:20,,,,,,,
20151091,3 ,6,8/30/2015 8:02,Completed,0:02:53,,,,,,,
20151091,1 ,7,8/30/2015 8:07,Completed,0:05:10,,,,,,,
20151091,3 ,8,8/30/2015 8:08,Completed,0:00:20,,,,,,,
20151091,2 ,9,8/30/2015 8:11,Completed,0:03:09,,,,,,,
20151091,3 ,10,8/30/2015 8:15,Completed,0:00:30,,,,,,,
20151091,3 ,11,8/30/2015 8:16,Completed,0:00:27,,,,,,,
20151091,3 ,12,8/30/2015 8:16,Completed,0:00:33,,,,,,,
20151091,3 ,13,8/30/2015 8:17,Completed,0:00:49,,,,,,,
20151091,3 ,14,8/30/2015 8:19,Completed,0:00:12,,,,,,,
20151091,2 ,15,8/30/2015 8:20,Completed,0:00:25,,,,,,,
20151091,1 ,16,8/30/2015 8:20,Completed,0:00:21,,,,,,,
20151091,2 ,17,8/30/2015 8:22,Completed,0:01:27,,,,,,,
20151091,3 ,18,8/30/2015 8:25,Completed,0:02:21,,,,,,,
20151091,2 ,19,8/30/2015 8:25,Completed,0:00:15,,,,,,,
20151091,3 ,20,8/30/2015 8:27,Completed,0:00:49,,,,,,,
20151091,2 ,21,8/30/2015 8:28,Completed,0:01:02,,,,,,,
20151091,1 ,22,8/30/2015 8:32,Completed,0:04:16,,,,,,,
20151091,3 ,23,8/30/2015 8:34,Completed,0:00:39,,,,,,,
20151091,3 ,24,8/30/2015 8:34,Completed,0:00:16,,,,,,,
20150413,3 ,1,9/19/2015 14:24,Completed,0:00:36,,,,,,,
20150413,1 ,2,9/19/2015 14:25,Completed,0:00:35,,,,,,,
20150413,2 ,3,9/19/2015 14:26,Completed,0:00:52,,,,,,,
20150413,3 ,4,9/19/2015 14:27,Completed,0:00:52,,,,,,,
20150413,3 ,5,9/19/2015 14:28,Completed,0:00:22,,,,,,,
20150413,2 ,6,9/19/2015 14:29,Completed,0:00:24,,,,,,,
20150413,3 ,7,9/19/2015 14:31,Completed,0:00:16,,,,,,,
20150413,0 ,8,9/19/2015 14:32,Completed,0:00:36,,,,,,,
20150413,3 ,9,9/19/2015 14:32,Completed,0:00:27,,,,,,,
20150413,2 ,10,9/19/2015 14:34,Completed,0:00:29,,,,,,,
20150413,3 ,11,9/19/2015 14:35,Completed,0:00:21,,,,,,,
20150413,3 ,12,9/19/2015 14:35,Completed,0:00:12,,,,,,,
20150413,3 ,13,9/19/2015 14:36,Completed,0:00:16,,,,,,,
20150413,3 ,14,9/19/2015 14:36,Completed,0:00:14,,,,,,,
20150413,3 ,15,9/19/2015 14:37,Completed,0:00:24,,,,,,,
20150413,3 ,16,9/19/2015 14:37,Completed,0:00:19,,,,,,,
20150413,3 ,17,9/19/2015 14:38,Completed,0:00:29,,,,,,,
20150413,3 ,18,9/19/2015 14:39,Completed,0:00:28,,,,,,,
20150413,3 ,19,9/19/2015 14:40,Completed,0:00:31,,,,,,,
20150413,2 ,20,9/19/2015 14:40,Completed,0:00:13,,,,,,,
20150413,2 ,21,9/19/2015 14:41,Completed,0:00:22,,,,,,,
20150413,3 ,22,9/19/2015 14:41,Completed,0:00:20,,,,,,,
20150413,3 ,23,9/19/2015 14:42,Completed,0:00:13,,,,,,,
20150413,3 ,24,9/19/2015 14:42,Completed,0:00:13,,,,,,,
20150413,3 ,25,9/19/2015 14:43,Completed,0:00:12,,,,,,,
20150413,3 ,26,9/19/2015 14:43,Completed,0:00:29,,,,,,,
20150413,3 ,27,9/19/2015 14:44,Completed,0:00:11,,,,,,,
20150413,3 ,28,9/19/2015 14:44,Completed,0:00:14,,,,,,,
20150413,3 ,29,9/19/2015 14:45,Completed,0:00:12,,,,,,,
20150739,3 ,1,8/26/2015 19:30,Completed,0:00:39,,,,,,,
20150739,2 ,2,8/26/2015 19:35,Completed,0:03:28,,,,,,,
20150739,3 ,3,8/26/2015 19:41,Completed,0:01:23,,,,,,,
20150014,3 ,1,8/30/2015 13:36,Completed,0:00:34,,,,,,,
20150014,3 ,2,8/30/2015 13:38,Completed,0:00:42,,,,,,,
20150994,3 ,1,8/30/2015 1:11,Completed,0:03:58,,,,,,,
20150299,2 ,1,8/30/2015 17:05,Completed,0:02:02,,,,,,,
20150069,0 ,1,8/28/2015 7:29,Completed,0:01:40,,,,,,,
20150069,3 ,2,8/28/2015 7:30,Completed,0:00:29,,,,,,,
20150069,3 ,3,9/19/2015 12:48,Completed,0:00:29,,,,,,,
20150277,1 ,1,8/27/2015 19:27,Completed,0:01:50,,,,,,,
20150277,0 ,2,8/27/2015 21:08,Completed,0:00:12,,,,,,,
20150277,1 ,3,8/27/2015 21:08,Completed,0:00:20,,,,,,,
20150277,0 ,4,8/27/2015 21:09,Completed,0:00:11,,,,,,,
20150277,3 ,5,8/27/2015 21:09,Completed,0:00:09,,,,,,,
20150277,0 ,6,8/27/2015 21:10,Completed,0:00:10,,,,,,,
20150277,0 ,7,8/27/2015 21:10,Completed,0:00:23,,,,,,,
20150277,2 ,8,8/27/2015 21:11,Completed,0:00:23,,,,,,,
20150277,1 ,9,8/27/2015 21:11,Completed,0:00:11,,,,,,,
20150277,2 ,10,8/27/2015 21:12,Completed,0:00:12,,,,,,,
20150277,2 ,11,8/27/2015 21:12,Completed,0:00:14,,,,,,,
20150277,2 ,12,8/27/2015 21:13,Completed,0:00:18,,,,,,,
20150223,0 ,1,8/24/2015 13:11,Completed,0:00:39,,,,,,,
20150223,2 ,2,8/24/2015 13:22,Completed,0:00:38,,,,,,,
20150223,1 ,3,8/27/2015 18:01,Completed,0:01:00,,,,,,,
